Run Name,Motor Stop Time (s),OOD Detector Start Time (s),OOD Detector End Time (s),Image Capture Time (s),OOD Score
HT7,0.0,1614243901.414978,1614243901.856118,1614243901.4181187,0.07540065050125122
HT7,0.0,1614243901.856118,1614243902.734332,1614243901.8491752,0.10133504867553711
HT7,1614243903.659746,1614243902.734332,1614243903.545065,1614243902.7152572,0.22588491439819336
HT8,0.0,0.0,1614244036.379956,1614244035.1123855,0.05810832977294922
HT8,0.0,1614244036.379956,1614244037.508904,1614244036.3810017,0.058560311794281006
HT8,0.0,1614244037.508904,1614244037.895906,1614244037.490399,0.05958455801010132
HT8,0.0,1614244037.895906,1614244038.255155,1614244037.8798184,0.06271392107009888
HT8,0.0,1614244038.255155,1614244038.655555,1614244038.2454648,0.053730785846710205
HT8,0.0,1614244038.655555,1614244039.033438,1614244038.644854,0.06482714414596558
HT8,0.0,1614244039.033438,1614244039.340919,1614244039.0136926,0.07871925830841064
HT8,0.0,1614244039.340919,1614244039.678704,1614244039.345445,0.06560850143432617
HT8,0.0,1614244039.678704,1614244040.278827,1614244039.6430442,0.06470412015914917
HT8,1614244040.937131,1614244040.278827,1614244040.906035,1614244040.247597,0.11754626035690308
HT9,0.0,0.0,1614244125.980934,1614244124.8652174,0.045583486557006836
HT9,0.0,1614244125.980934,1614244126.460717,1614244125.96643,0.046497881412506104
HT9,0.0,1614244126.460717,1614244126.811657,1614244126.4309068,0.03998887538909912
HT9,0.0,1614244126.811657,1614244127.145239,1614244126.8017805,0.047945618629455566
HT9,0.0,1614244127.145239,1614244127.461147,1614244127.1338406,0.07015955448150635
HT9,0.0,1614244127.461147,1614244127.824255,1614244127.4305496,0.08344763517379761
HT9,0.0,1614244127.824255,1614244128.256689,1614244127.7986681,0.06073892116546631
HT9,0.0,1614244128.256689,1614244129.082056,1614244128.263432,0.0772404670715332
HT9,0.0,1614244129.082056,1614244129.584429,1614244129.096287,0.10593307018280029
HT9,1614244130.100683,1614244129.584429,1614244130.063927,1614244129.5664332,0.2301032543182373
HT10,0.0,0.0,1614244216.845415,1614244215.7867908,0.03885692358016968
HT10,0.0,1614244216.845415,1614244217.228941,1614244216.8183017,0.03882265090942383
HT10,0.0,1614244217.228941,1614244217.581308,1614244217.2171829,0.03986835479736328
HT10,0.0,1614244217.581308,1614244217.903348,1614244217.585401,0.04860997200012207
HT10,0.0,1614244217.903348,1614244218.247772,1614244217.8869302,0.07781022787094116
HT10,0.0,1614244218.247772,1614244218.643591,1614244218.2519853,0.08908802270889282
HT10,0.0,1614244218.643591,1614244219.038783,1614244218.6182544,0.05997401475906372
HT10,0.0,1614244219.038783,1614244219.633005,1614244219.0180047,0.08208471536636353
HT10,1614244220.181965,1614244219.633005,1614244220.146194,1614244219.6154494,0.11654090881347656
ST1,0.0,0.0,1614244371.122620,1614244369.9380276,0.0630074143409729
ST1,0.0,1614244371.122620,1614244371.987980,1614244371.1064742,0.06265860795974731
ST1,0.0,1614244371.987980,1614244372.564579,1614244371.9713464,0.06538528203964233
ST1,0.0,1614244372.564579,1614244372.993270,1614244372.535924,0.06601542234420776
